iter	Logloss
0	0.5760649034
1	0.4906608731
2	0.4249024171
3	0.3753054834
4	0.3363324516
5	0.3036558763
6	0.2770113339
7	0.2564156284
8	0.2394084753
9	0.2251749117
10	0.2137986029
11	0.2048777083
12	0.1963947181
13	0.189863754
14	0.1841255203
15	0.1787496662
16	0.1743213057
17	0.1716936716
18	0.1688594995
19	0.1663868842
20	0.1647693126
21	0.1626657659
22	0.1609487026
23	0.1598079531
24	0.1584656591
25	0.1574556233
26	0.1563321211
27	0.1554312187
28	0.1544797367
29	0.1532437832
30	0.1526452234
31	0.1521849474
32	0.1512201543
33	0.1511881169
34	0.1504037613
35	0.1495187872
36	0.1492148526
37	0.1488242458
38	0.1480358081
39	0.1476522643
40	0.1471643932
41	0.1467710925
42	0.146419588
43	0.1460954119
44	0.1457541483
45	0.1455057131
46	0.1454560877
47	0.145151999
48	0.1449037085
49	0.144536676
50	0.1443555196
51	0.1441034899
52	0.143917562
53	0.143788813
54	0.1437872108
55	0.1436415823
56	0.1433481704
57	0.1428452497
58	0.1425818299
59	0.1414179459
60	0.1410113381
61	0.1406324438
62	0.1400604141
63	0.1397176018
64	0.1396092236
65	0.1394337621
66	0.1394030607
67	0.1392808057
68	0.1389520405
69	0.1386375917
70	0.1386327628
71	0.1386291336
72	0.1386279679
73	0.1386270159
74	0.1384840698
75	0.1381825439
76	0.1379305999
77	0.1375289499
78	0.1372533004
79	0.1372479784
80	0.1371318537
81	0.1369032523
82	0.1367791333
83	0.1363327076
84	0.1360214282
85	0.1357172075
86	0.1354873348
87	0.1354705717
88	0.1352016921
89	0.1350439933
90	0.1350388498
91	0.1350264606
92	0.1350143264
93	0.1350021687
94	0.1348937967
95	0.1347223314
96	0.1347220434
97	0.1345331769
98	0.1342068234
99	0.1342022625
