iter	Passed	Remaining
0	9	898
1	21	1036
2	36	1183
3	45	1087
4	52	999
5	60	949
6	66	889
7	76	882
8	83	843
9	90	817
10	98	793
11	106	782
12	115	770
13	124	764
14	131	744
15	140	736
16	147	721
17	155	707
18	162	692
19	169	676
20	177	667
21	186	659
22	193	646
23	201	637
24	208	626
25	214	611
26	218	590
27	221	570
28	225	552
29	228	534
30	232	516
31	235	499
32	238	485
33	240	467
34	245	456
35	253	450
36	261	445
37	270	440
38	275	431
39	284	426
40	290	418
41	298	412
42	305	405
43	312	398
44	320	392
45	330	387
46	337	380
47	345	374
48	353	367
49	361	361
50	368	353
51	376	347
52	386	343
53	398	339
54	409	334
55	416	326
56	422	319
57	427	309
58	435	302
59	442	294
60	449	287
61	456	279
62	465	273
63	472	265
64	481	259
65	488	251
66	496	244
67	500	235
68	503	226
69	507	217
70	510	208
71	513	199
72	516	191
73	520	182
74	523	174
75	526	166
76	532	158
77	540	152
78	547	145
79	555	138
80	562	131
81	566	124
82	570	116
83	573	109
84	575	101
85	579	94
86	583	87
87	589	80
88	595	73
89	599	66
90	603	59
91	607	52
92	610	45
93	612	39
94	616	32
95	620	25
96	630	19
97	639	13
98	647	6
99	655	0
